Animal ID,Birth Code,Diet Code,Cross Foster Code,Sex Code,Age Code,Total_Duration,%_Duration_outer_zone,Total_Distance,%_Distance_outer_zone,Total_Velocity
2172,Asphyxia,Control,BC6,Male,14,535.51,98.71524341,30006.33,98.60359464,42.11555556
2173,Asphyxia,Control,BC6,Male,14,540,95.09259259,27180.64,93.52546518,53.77333333
2174,Asphyxia,Control,BC6,Male,14,540.01,91.17979297,20033.03,88.32473171,38.06944444
2171,Asphyxia,Control,BC6,Male,14,540.01,88.9576119,25296.09,88.78538146,51.53388889
2165,Asphyxia,Control,BC20,Male,14,540.01,96.78154108,27357.15,96.1863352,48.69555556
2466,Asphyxia,Control,BC20,Female,14,540,95.97962963,30969.93,96.81080971,44.68666667
2795,Asphyxia,Control,BC46,Male,14,540,100,7090.55,100,6.570555556
2161,Asphyxia,Control,DW193,Male,14,540,90.55555556,33349.72,90.85725457,57.56666667
2434,Asphyxia,Control,DW316,Female,14,540,94.49074074,27154.96,94.79966091,42.585
2508,Asphyxia,Creatine,DW326,Female,14,540,93.33333333,31274.09,92.74923747,53.92611111
2509,Asphyxia,Creatine,DW326,Female,14,540,94.28518519,21876.22,93.85058296,39.22611111
2510,Asphyxia,Creatine,DW326,Female,14,540,94.07407407,34356.22,94.37050991,56.80111111
2512,Asphyxia,Creatine,DW332,Male,14,540.01,96.36488213,38922.74,96.95085701,57.05888889
2497,Asphyxia,Creatine,DW341,Female,14,540.01,78.8652062,26127.52,77.91512551,50.41222222
2553,Asphyxia,Control,DW349,Female,14,540.01,92.56865614,23775.24,91.08219307,40.28055556
2501,Asphyxia,Control,DW371,Male,14,540.01,92.66124701,26865.94,93.63457969,42.23
3185,Asphyxia,Control,DW380b,Female,14,540,91.99074074,26928.49,91.57149175,47.26111111
2577,Asphyxia,Control,DW390,Female,14,491.75,93.64514489,24505.85,93.00873057,52.90277778
2578,Asphyxia,Control,DW390,Female,14,540,97.5,17969.33,97.17501988,23.315
2579,Asphyxia,Control,DW390,Female,14,540.01,84.55954519,27110.47,83.68958561,53.48666667
2809,Asphyxia,Control,DW393,Male,14,539.88,93.53930503,36451.31,94.05843027,59.44888889
2810,Asphyxia,Control,DW393,Female,14,540,91.48148148,28828.39,93.25179103,45.835
2710,Asphyxia,Creatine,DW394,Male,14,540,90.46296296,35074.08,91.44302573,59.52
2712,Asphyxia,Creatine,DW394,Female,14,540.01,92.70754245,34528.49,93.82981995,58.02722222
2640,Asphyxia,Control,DW400,Male,14,540,89.76851852,23927.84,88.49377963,44.09666667
2642,Asphyxia,Control,DW400,Female,14,540,88.7037037,30883.06,88.14596092,55.13944444
2940,Asphyxia,Creatine,DW417b,Male,14,540.01,95.43897335,34690.38,95.58433779,61.04833333
2941,Asphyxia,Creatine,DW417b,Female,14,540.01,94.42047369,23484.28,95.23366269,36.25722222
2866,Asphyxia,Creatine,DW420,Female,14,540,94.02777778,24993.81,93.30970348,46.47
2867,Asphyxia,Creatine,DW420,Male,14,540,90.64814815,29318.58,91.54004048,48.47
2868,Asphyxia,Creatine,DW420,Female,14,540.01,94.37417826,26445.62,93.26716485,46.43444444
3202,Asphyxia,Control,DW420b,Female,14,540,89.22777778,19316.44,91.52545707,27.46555556
3203,Asphyxia,Control,DW420b,Male,14,540,95.1537037,18419.27,93.93678468,33.15055556
3204,Asphyxia,Control,DW420b,Female,14,540,92.68518519,22555.7,91.43586765,40.25277778
2683,Asphyxia,Creatine,DW426a,Male,14,540,89.76851852,25586.12,94.63263676,40.34444444
2683,Asphyxia,Creatine,DW426a,Female,14,540.01,95.11490528,23037.27,95.65551821,35.42555556
2685,Asphyxia,Creatine,DW426a,Male,14,540,97.77777778,22020.93,96.96947404,42.33333333
2984,Asphyxia,Control,DW426c,Male,14,540,93.51851852,23496.66,92.08615182,42.88277778
2986,Asphyxia,Control,DW426c,Female,14,540.01,93.77233755,32531.61,94.42277834,58.77388889
2215,C section,Control,BC7,Female,14,540,91.43518519,22815.57,89.35669808,42.51
2217,C section,Control,BC7,Male,14,540,89.58333333,29367.44,91.31946809,50.91666667
2218,C section,Control,BC21,Male,14,540.01,86.226181,29569.49,87.43404097,51.48611111
2216,C section,Control,BC21,Female,14,540.01,90.25388419,30205.33,90.51025101,53.92611111
2249,C section,Control,DW164,Male,14,540,97.17592593,31386.33,97.25797823,48.90388889
2179,C section,Control,DW184,Male,14,540,86.38888889,30427.91,87.02240805,53.41111111
2178,C section,Control,DW184,Male,14,540.01,91.04090665,27554.79,91.72013287,47.25611111
2162,C section,Control,DW193,Male,14,540,81.95740741,23789.04,86.73519402,39.92611111
2366,C section,Control,DW226,Male,14,540,92.96296296,20261.97,91.57159941,46.91333333
2227,C section,Control,DW264,Male,14,511.13,84.86099427,36000.64,89.71784946,60.26833333
2227,C section,Control,DW264,Female,14,540,88.80925926,29399.03,90.62050687,50.23777778
2370,C section,Control,DW266,Male,14,540,87.36111111,22705.41,87.17424614,42.53777778
2371,C section,Control,DW266,Male,14,540,94.90740741,25915.94,94.34070306,47.36333333
2369,C section,Control,BC27,Female,14,407.85,93.83596911,15958.58,93.77964706,28.45777778
2559,C section,Creatine,DW267,Male,14,540.01,96.64265477,28892.66,96.304667,47.40166667
2560,C section,Creatine,DW267,Male,14,540.01,95.11490528,18810.77,93.33993239,35.75722222
2485,C section,Control,DW306,Female,14,540.01,88.7261347,17848.88,83.94302612,34.70222222
2486,C section,Control,DW306,Male,14,540,88.80925926,15635.85,84.79532613,34.15166667
2435,C section,Control,DW316,Female,14,540.01,98.21669969,25485.49,97.72823673,40.00666667
2436,C section,Control,DW316,Female,14,540,90.48148148,20865.49,95.22302136,30.80555556
2457,C section,Creatine,DW334,Female,14,540,90.09259259,22606.35,89.26359187,39.89222222
2597,C section,Control,DW337,Female,14,540,95,32719.01,94.9840475,53.78
2599,C section,Control,DW337,Female,14,540.01,95.94822318,35597.43,96.1380639,52.95666667
2600,C section,Control,DW337,Female,14,540.01,98.91113128,25569.08,98.65227846,36.22444444
2831,C section,Control,DW352,Female,14,540,96.15740741,22477.37,95.26808519,29.41666667
2832,C section,Control,DW352,Male,14,540.01,90.30017963,33585.84,91.9680139,57.24833333
2833,C section,Control,DW352,Male,14,540.01,94.60565545,27821.39,94.62126084,46.44055556
2835,C section,Control,DW352,Female,14,540.01,94.28158738,25656.33,94.03468852,43.00944444
2490,C section,Control,DW368,Male,14,540,88.75,23134.93,87.78690923,42.61444444
2491,C section,Control,DW368,Male,14,540,95.63518519,25545.22,96.01256125,39.43111111
2803,C section,Creatine,DW413,Male,14,540,92.40740741,22123.57,90.74936821,36.65611111
2804,C section,Creatine,DW413,Female,14,540,94.04814815,27925,95.46635631,35.77611111
2805,C section,Creatine,DW413,Male,14,540.01,97.15190459,22071.89,96.13802896,31.72888889
2691,C section,Creatine,DW417,Female,14,540.01,93.81863299,28153.11,94.04374863,47.10833333
2693,C section,Creatine,DW417,Male,14,540.01,91.27238384,28810.54,91.34781924,53.64722222
2857,C section,Control,DW424,Male,14,540.01,87.56874873,19783.22,86.32300505,39.36388889
2858,C section,Control,DW424,Female,14,540,93.88888889,30950.02,95.11722448,47.275
2859,C section,Control,DW424,Female,14,540.01,88.35577119,20184.77,89.50679151,33.74444444
2761,C section,Control,DW426b,Female,14,540,89.30555556,27502.97,90.04769303,50.90777778
2762,C section,Control,DW426b,Female,14,540.01,90.99461121,21502.45,91.30606047,35.68444444
2763,C section,Control,DW426b,Female,14,540,91.75925926,21270.09,89.29012524,42.67944444
3211,C section,Creatine,DW426d,Female,14,540.01,97.24449547,15240.67,94.75849815,27.56777778
3213,C section,Creatine,DW426d,Male,14,540,91.48148148,32534.41,92.37988333,57.42833333
2816,C section,Control,DW432,Male,14,540,87.40740741,32527.45,89.42606937,58.54611111
2817,C section,Control,DW432,Female,14,540,90.27777778,32781.72,91.00236351,56.13388889
2838,C section,Control,DW434,Female,14,540,95.68703704,19878.87,94.23171438,35.28111111
2840,C section,Control,DW438,Female,14,540,93.84259259,20439.09,93.54672835,31.805
3153,C section,Creatine,DW446,Female,14,540,92.09074074,26502.38,92.59489148,46.52777778
3154,C section,Creatine,DW446,Male,14,540.01,96.0871095,34824.94,96.58187494,59.98444444
3155,C section,Creatine,DW446,Male,14,540,93.24074074,22132.87,93.62337555,40.51722222
3223,C section,Creatine,DW449b,Female,14,540.01,94.14270106,29281.82,94.92838901,50.17388889
3224,C section,Creatine,DW449b,Male,14,540,94.02777778,32748.16,95.12045868,56.00888889
3225,C section,Creatine,DW449b,Female,14,540,92.03703704,26274.73,91.1797381,46.37
3185,Asphyxia,Control,DW380b,Female,18,540.01,81.50404622,23249.12,82.36982733,44.51222222
2809,Asphyxia,Control,DW393,Male,18,540.01,81.17997815,26786.15,82.43988031,50.21444444
2810,Asphyxia,Control,DW393,Female,18,540,74.21296296,20519.21,73.16612092,42.61222222
2940,Asphyxia,Creatine,DW417b,Male,18,540.01,89.05020277,26447.22,89.24091076,49.60833333
2941,Asphyxia,Creatine,DW417b,Female,18,540,93.38703704,17272.36,92.99215625,29.62222222
2866,Asphyxia,Creatine,DW420,Female,18,540.01,92.19829262,39758.85,94.80716872,58.32833333
2868,Asphyxia,Creatine,DW420,Female,18,540,88.00925926,22725.14,86.57878455,44.34222222
2869,Asphyxia,Creatine,DW420,Male,18,540,86.15740741,24921.37,87.21819868,44.62722222
3202,Asphyxia,Control,DW420b,Female,18,540.01,89.51315716,21605.52,88.8561812,43.95333333
3203,Asphyxia,Control,DW420b,Male,18,540,90.46296296,19405.15,85.04041453,44.95166667
2683,Asphyxia,Creatine,DW426a,Male,18,540.01,86.78172626,22006.48,85.76001251,41.93388889
2984,Asphyxia,Control,DW426c,Male,18,540.01,84.69843151,20947.25,85.43794532,41.25111111
2986,Asphyxia,Control,DW426c,Female,18,540,93.37962963,15723.84,90.53780756,33.95777778
2215,C section,Control,BC7,Female,18,540,90.18518519,27680.73,91.76448743,44.67333333
2217,C section,Control,BC7,Male,18,540.01,86.96690802,28345.1,87.87543526,51.45555556
2218,C section,Control,BC21,Male,18,540,71.85185185,25589.29,87.58253941,51.83111111
2216,C section,Control,BC21,Female,18,540.01,77.05968408,26963.59,79.84626676,49.38055556
