Animal ID,Birth Code,Diet Code,Cross Foster Code,Sex Code,Age Code,Total_Duration,%_Duration_outer_zone,Total_Distance,%_Distance_outer_zone,Total_Velocity
2600,C section,Control,DW337,Female,7,321,92.83489097,4721.49,86.4614772,8.813888889
2831,C section,Control,DW352,Female,7,280.63,100,2456.4,100,2.664444444
2832,C section,Control,DW352,Male,7,280.75,100,2428.44,100,2.918888889
2833,C section,Control,DW352,Male,7,280.75,99.10952805,2993.58,94.89073283,6.528888889
2835,C section,Control,DW352,Female,7,280.25,100,1063.53,100,1.062222222
2491,C section,Control,DW368,Male,7,281.26,93.19846405,11485.53,90.63674032,23.02833333
2491,C section,Control,DW368,Male,7,281.25,97.77777778,11999.48,96.99728655,17.69388889
2726,C section,Control,DW380,Female,7,280.75,86.28673197,3268.68,99.43555197,4.706666667
2727,C section,Control,DW380,Male,7,279.88,99.46405602,7065.89,98.4844089,10.72722222
2803,C section,Creatine,DW413,Male,7,280.76,99.50847699,14237.04,99.63461506,16.50666667
2804,C section,Creatine,DW413,Female,7,280.13,98.75058009,11839.17,97.64991972,20.59055556
2805,C section,Creatine,DW413,Male,7,280.38,99.59697553,11170.21,99.36321699,14.33055556
2691,C section,Creatine,DW417,Female,7,281.38,100,3982.14,100,4.69
2692,C section,Creatine,DW417,Female,7,281.25,100,4832.28,100,4.813888889
2857,C section,Control,DW424,Male,7,281.13,97.55273361,9105.76,96.40216742,13.73166667
2858,C section,Control,DW424,Female,7,281.01,99.15305505,10866.27,98.60329257,18.22611111
2859,C section,Control,DW424,Female,7,280.38,99.59697553,8675.46,99.24845484,12.16055556
2761,C section,Control,DW426b,Female,7,281,99.46619217,5442.86,99.04406874,7.586111111
2762,C section,Control,DW426b,Female,7,281,97.95373665,7147.54,94.74182726,18.00111111
2763,C section,Control,DW426b,Female,7,280.63,100,1404.92,100,1.468888889
3211,C section,Creatine,DW426d,Female,7,281.13,98.44200192,8954.89,97.36970527,17.69222222
3212,C section,Creatine,DW426d,Female,7,280.38,98.39503531,5554.73,97.37394977,7.356111111
3213,C section,Creatine,DW426d,Male,7,280.88,97.72856736,5936.24,95.11980648,11.63666667
2816,C section,Control,DW432,Male,7,281.13,96.97648775,10747.09,96.45178369,12.67111111
2817,C section,Control,DW432,Female,7,281.01,98.61926622,8071.58,96.89689008,11.95611111
2781,C section,Control,DW434,Male,7,540,97.12962963,16645.93,96.91323945,25.62055556
2782,C section,Control,DW434,Male,7,540,99.2962963,10402.08,98.77880193,13.44222222
2838,C section,Control,DW438,Female,7,281.13,100,6118.49,100,6.16
2840,C section,Control,DW438,Female,7,281.13,99.15341657,3086.19,95.55276895,6.087777778
3153,C section,Creatine,DW446,Female,7,280.63,100,5394.55,100,5.603333333
3154,C section,Creatine,DW446,Male,7,280.75,100,4392.02,100,4.525
3155,C section,Creatine,DW446,Male,7,280.75,99.64381122,9311.82,99.45102032,12.33722222
3223,C section,Creatine,DW449b,Female,7,281.13,97.68790239,7039.88,97.21912874,13.04888889
3224,C section,Creatine,DW449b,Male,7,281.26,98.97603641,10376.28,98.15203522,17.54
3225,C section,Creatine,DW449b,Female,7,281.13,100,292.81,100,0.290555556
